A1,A2,A3,B1,B2,B3,C1,C2,C3,
9,6,15,7,9,18,4,2,8,
8,7,16,6,8,19,5,4,9,
8,6,16,8,7,19,6,4,8,
9,6,14,7,9,20,5,4,8,
9,7,15,6,8,20,5,2,8,
9,6,16,6,9,20,5,4,7,
8,6,15,6,8,20,5,4,7,
4,7,16,6,9,18,5,4,8,
9,7,17,8,9,20,5,4,7,
8,7,16,6,9,19,5,3,7,
8,6,16,6,9,19,6,4,8,
8,7,15,6,9,21,5,3,7,
9,6,16,7,10,21,4,3,8,
8,6,16,6,8,20,4,3,8,
8,6,16,8,8,21,5,3,9,
8,7,15,6,9,21,4,4,7,
5,6,16,7,9,20,5,3,7,
8,6,16,6,9,21,5,2,7,
8,6,16,7,10,20,5,2,8,
8,8,16,7,8,20,5,4,7,
10,7,16,6,9,20,5,3,9,
10,6,17,6,9,19,5,3,9,
11,8,15,6,8,19,5,4,8,
9,6,16,5,9,21,6,3,8,
9,6,17,7,9,21,5,4,8,
10,7,16,6,9,20,6,3,8,
9,7,15,7,9,20,4,4,8,
8,6,16,7,9,20,4,3,8,
9,6,16,6,9,19,4,4,8,
8,7,17,7,9,20,5,4,8,
9,7,15,7,8,20,5,3,8,
9,7,16,6,9,19,6,4,8,
8,6,17,7,9,19,5,4,9,
10,7,17,7,8,19,5,2,7,
9,6,15,6,9,19,5,3,8,
8,7,16,7,7,20,5,3,7,
9,7,17,6,7,19,5,4,7,
9,7,15,7,8,20,5,3,7,
8,7,16,7,8,18,6,3,7,
8,7,16,8,9,20,5,3,8,
8,6,16,7,9,20,5,3,8,
9,7,16,7,9,19,4,4,8,
8,6,16,6,9,20,5,4,9,
9,6,16,6,9,19,5,4,8,
9,7,16,6,10,19,4,3,8,
9,7,16,8,9,19,5,3,9,
9,6,16,8,9,20,4,4,9,
9,7,15,6,9,20,5,3,9,
8,6,16,7,7,20,6,4,8,
8,6,15,7,8,18,4,2,8,
8,8,16,7,9,18,5,3,8,
9,7,15,7,10,20,4,3,7,
6,6,16,6,9,20,5,3,8,
9,6,15,6,10,20,5,3,7,
8,7,15,6,10,19,5,3,9,
6,7,16,6,9,20,5,4,9,
8,6,16,7,7,20,6,2,9,
8,8,16,7,10,19,4,3,9,
6,7,16,7,9,18,6,3,8,
8,6,15,7,8,19,5,3,7,
9,8,16,7,9,20,5,2,7,
9,7,16,6,9,20,5,4,8,
9,6,15,6,8,20,5,4,9,
9,7,16,7,8,19,5,2,8,
8,6,18,8,8,19,5,3,7,
9,7,17,6,8,20,5,4,9,
9,7,17,7,9,18,4,3,8,
8,7,16,7,8,19,6,3,7,
9,7,17,6,8,20,5,3,9,
10,8,16,6,9,18,5,4,8,
9,7,17,7,9,19,5,4,8,
9,7,17,7,9,20,5,3,9,
8,6,16,6,8,19,6,3,8,
10,6,16,7,8,20,5,2,7,
10,6,16,7,8,19,4,3,8,
9,6,16,6,8,19,5,4,7,
9,6,17,7,9,19,5,2,8,
8,7,17,5,9,20,6,4,8,
8,6,17,7,7,19,5,3,8,
10,7,17,6,9,19,5,4,8,
10,6,16,6,9,18,6,2,8,
9,7,16,6,8,18,5,3,8,
9,6,16,8,8,19,4,3,7,
8,8,17,7,8,19,5,3,8,
9,7,16,6,8,19,5,4,8,
9,7,17,7,8,20,4,4,7,
9,7,17,5,9,20,5,3,9,
8,7,17,6,9,20,5,4,8,
9,6,16,8,8,20,5,3,8,
10,8,16,7,9,20,4,3,8,
10,6,16,6,9,21,5,4,8,
9,7,16,6,8,21,5,4,8,
8,8,18,6,9,20,4,2,7,
9,7,17,7,9,20,4,4,8,
10,7,18,7,8,19,4,2,8,
10,7,16,6,8,20,5,4,7,
8,7,16,6,10,20,5,4,8,
8,7,17,7,9,19,6,3,7,
8,6,16,7,8,20,5,3,9,
8,7,16,6,9,19,5,3,8,
8,6,17,6,9,20,5,4,7,
8,6,16,7,9,19,4,4,8,
9,8,17,6,8,18,5,3,7,
8,8,17,4,9,20,5,3,8,
10,8,16,6,9,19,5,4,8,
10,6,16,7,10,19,4,3,8,
9,8,17,7,9,18,6,3,8,
9,6,16,6,8,19,4,4,8,
9,7,16,7,9,18,4,2,8,
9,8,17,7,9,19,5,3,8,
8,6,16,7,7,20,5,4,7,
8,8,16,6,8,20,5,3,9,
9,6,15,6,9,19,5,4,9,
8,7,16,7,9,20,5,4,9,
10,7,16,6,9,20,4,3,8,
9,6,16,7,8,19,4,2,9,
7,7,15,7,8,20,4,4,8,
9,6,16,7,9,19,5,4,9,
8,6,16,7,9,19,5,4,8,
9,6,16,7,8,20,5,2,9,
8,7,16,7,8,20,6,4,8,
9,6,16,6,8,21,5,4,8,
9,7,16,7,9,20,5,3,8,
8,6,16,7,9,20,5,4,7,
8,6,16,6,10,20,5,4,8,
9,6,16,6,10,20,3,4,9,
9,6,15,7,8,20,5,4,8,
10,6,16,7,9,18,5,4,7,
8,6,16,7,8,19,5,3,8,
9,7,16,7,9,18,4,2,8,
9,6,16,6,8,19,5,3,7,
9,7,16,6,8,19,4,4,8,
8,6,16,7,8,19,4,4,8,
8,6,15,8,7,20,5,4,8,
8,6,17,6,9,19,5,3,8,
8,7,16,6,7,19,5,2,9,
8,7,16,7,8,19,4,4,9,
9,6,16,8,8,20,5,3,8,
8,6,17,7,9,20,4,4,8,
9,7,16,6,8,19,5,3,8,
9,7,15,5,8,20,5,3,8,
8,6,16,7,9,20,5,3,8,
9,6,15,7,9,18,6,2,9,
10,7,16,6,8,19,4,4,9,
10,8,16,6,8,18,4,3,9,
8,7,17,6,9,19,5,4,9,
9,7,15,7,9,19,5,4,8,
9,6,16,7,8,20,6,4,8,
10,7,16,6,9,20,5,3,9,
9,7,17,7,8,19,4,4,8,
9,6,16,6,9,19,4,4,7,
9,7,16,6,8,20,5,4,9,
9,7,16,7,9,20,4,3,9,
9,8,17,6,9,19,5,4,8,
9,6,16,7,10,20,4,3,8,
8,7,16,7,9,19,4,3,8,
10,7,15,7,9,21,5,2,7,
10,6,17,7,8,21,5,4,8,
9,7,17,8,9,21,5,3,8,
9,7,15,6,10,21,5,4,8,
8,6,17,6,8,21,5,4,7,
8,7,16,7,10,20,6,2,8,
8,7,16,7,8,20,4,3,8,
8,7,16,8,8,20,5,4,7,
9,8,16,6,8,20,5,3,9,
9,6,16,6,10,21,5,2,9,
9,7,16,7,8,20,5,4,8,
8,7,16,8,9,20,6,4,7,
9,6,15,7,9,20,4,3,7,
8,7,16,6,8,21,5,4,8,
8,7,16,6,9,21,5,4,8,
8,7,17,6,9,19,5,4,7,
9,6,16,7,9,19,5,3,8,
9,6,17,7,9,20,5,4,8,
9,7,17,6,8,21,5,4,7,
9,7,17,7,9,21,5,3,7,
9,7,16,6,8,20,4,2,8,
10,7,16,6,9,19,5,4,7,
8,6,15,8,9,19,5,3,8,
8,6,17,6,9,19,4,3,9,
9,6,16,6,9,19,5,4,8,
10,7,16,5,9,19,5,2,9,
9,6,16,7,10,20,5,4,8,
8,7,16,5,10,19,5,3,7,
9,7,17,8,9,19,4,3,8,
9,6,17,6,8,20,4,4,8,
9,7,17,6,9,18,5,4,8,
9,7,17,8,9,19,6,4,7,
8,7,16,6,8,19,5,4,9,
8,6,16,7,9,20,4,4,9,
9,7,16,7,8,20,5,2,9,
9,7,16,5,9,19,5,4,9,
10,6,17,6,8,19,5,4,8,
8,6,16,5,9,20,5,4,9,
9,7,16,7,8,20,5,2,8,
9,6,17,7,8,20,5,4,8,
9,8,17,7,8,19,4,3,6,
9,7,17,7,9,20,5,4,8,
8,6,17,6,9,19,5,4,8,
8,6,17,7,8,19,5,3,8,
9,7,16,6,9,20,4,4,8,
10,7,18,7,9,20,5,4,7,
9,7,17,6,9,20,5,2,8,
10,7,17,8,8,19,6,3,7,
10,6,16,6,8,20,5,2,9,
9,8,17,6,9,20,4,3,7,
9,7,16,7,10,20,5,3,8,
9,8,17,7,9,20,4,3,8,
8,7,18,7,10,19,3,3,7,
6,6,17,7,9,20,4,3,7,
9,7,17,7,8,21,5,3,7,
9,7,18,6,8,20,5,4,7,
9,7,17,6,8,20,3,3,7,
9,7,18,6,9,19,3,2,7,
9,7,17,8,8,19,5,4,8,
9,7,17,6,8,20,5,3,9,
8,7,17,6,9,19,5,2,7,
9,7,16,7,8,18,4,3,8,
9,7,16,7,9,19,5,3,6,
9,8,17,6,9,18,5,3,7,
10,7,16,7,9,18,4,4,7,
10,7,16,6,9,20,3,3,7,
8,7,17,7,8,19,5,3,7,
9,7,17,7,9,20,5,3,8,
9,6,17,6,8,20,3,3,6,
9,8,17,6,8,20,4,3,6,
10,7,16,7,9,20,5,2,7,
9,7,17,7,9,19,3,3,6,
10,8,16,7,9,20,4,4,7,
8,6,17,7,9,20,4,3,7,
9,8,16,6,8,19,5,3,7,
10,8,16,7,9,19,4,3,7,
9,6,17,7,10,19,3,3,7,
8,7,16,7,9,20,5,3,7,
10,7,16,7,8,20,4,3,8,
11,6,17,7,8,20,3,3,8,
10,8,17,6,9,19,4,3,6,
9,7,18,8,9,18,4,3,7,
10,7,18,8,8,18,4,2,6,
9,7,17,7,9,20,5,3,8,
10,8,17,6,8,20,4,3,7,
10,6,17,7,10,19,4,2,6,
10,7,17,6,9,19,4,3,6,
9,7,18,7,9,18,5,3,8,
9,7,16,7,8,18,5,3,6,
10,6,17,6,10,20,4,3,7,
9,7,18,7,9,19,3,4,8,
8,7,16,5,8,20,5,3,8,
10,7,17,7,8,19,5,3,8,
10,7,17,6,9,18,4,3,7,
8,7,16,7,9,19,3,4,7,
10,7,16,7,9,18,4,4,7,
10,6,17,7,10,18,4,2,7,
8,8,17,6,9,19,3,3,8,
9,7,17,7,8,18,4,3,8,
10,7,17,8,9,19,3,4,8,
10,8,18,6,9,19,5,3,7,
10,7,17,6,9,19,4,3,6,
8,7,16,7,8,18,4,3,6,
9,8,17,6,9,18,4,3,8,
9,7,16,7,8,18,5,3,6,
10,7,17,7,9,19,4,3,7,
10,8,16,7,8,18,5,3,8,
10,8,17,8,9,18,4,2,7,
9,8,17,6,8,18,5,2,6,
8,7,17,7,9,19,4,2,7,
10,7,16,6,8,19,5,3,7,
10,8,17,6,9,18,5,4,7,
10,6,17,6,9,18,4,2,7,
9,7,17,6,9,18,5,3,7,
9,6,17,7,9,19,5,2,7,
10,7,17,6,8,19,4,2,6,
9,8,16,7,8,18,4,3,8,
8,8,17,7,9,18,3,4,7,
8,6,18,6,8,19,5,3,7,
9,6,17,8,7,18,5,4,8,
9,8,16,6,10,18,4,4,7,
9,7,16,8,8,19,5,2,6,
9,7,15,6,8,19,4,3,7,
9,7,18,7,8,19,5,2,8,
8,6,16,6,9,18,4,2,7,
10,8,18,6,8,19,4,3,6,
10,7,16,7,8,19,5,3,8,
9,7,18,6,9,19,5,3,8,
8,6,16,6,8,18,5,3,6,
10,7,17,6,8,19,4,4,7,
10,7,16,8,8,20,5,3,7,
8,7,17,6,8,18,3,2,8,
8,6,18,7,9,18,6,3,8,
9,7,16,7,9,19,5,4,8,
10,7,18,6,9,18,4,4,7,
9,8,18,6,9,19,3,3,7,
9,6,17,7,9,19,4,4,8,
8,6,16,6,8,18,4,3,7,
9,8,16,6,8,18,5,3,8,
10,8,18,8,8,19,4,3,7,
9,8,17,7,8,19,5,4,7,
9,6,17,6,9,19,5,2,6,
8,7,17,5,8,19,5,3,7,
10,8,17,7,9,19,5,2,8,
9,8,17,6,7,19,4,3,8,
9,7,17,7,8,20,5,3,8,
10,6,17,7,8,19,5,3,7,
9,8,16,6,8,18,4,3,7,
9,7,17,7,8,18,5,2,7,
9,6,16,6,9,18,4,2,8,
9,8,17,6,9,19,5,3,9,
10,7,17,6,8,18,4,3,7,
10,7,17,7,9,19,3,2,7,
9,7,17,7,9,18,5,4,7,
10,7,17,6,7,19,4,4,7,
10,8,16,6,7,19,5,3,8,
10,7,16,6,9,18,3,2,7,
10,7,18,6,9,19,4,4,7,
10,7,18,6,8,18,5,2,8,
9,8,18,7,7,18,5,4,8,
11,7,18,6,8,19,4,2,7,
10,7,17,6,8,19,3,3,7,
9,7,17,6,8,19,5,3,7,
10,7,18,6,9,18,4,3,6,
10,7,17,6,8,19,3,2,7,
10,7,18,7,8,18,5,3,8,
10,7,16,6,9,19,5,3,8,
10,8,16,6,9,19,5,3,8,
9,7,16,7,8,19,3,3,7,
9,6,16,5,8,19,4,3,8,
10,7,16,6,8,18,3,4,7,
9,7,17,6,8,19,4,2,8,
9,6,17,7,9,20,5,3,8,
10,7,17,6,10,19,4,3,8,
8,7,16,7,9,19,5,3,6,
10,7,17,6,7,19,5,4,8,
8,8,16,6,9,19,5,3,8,
9,7,17,5,9,18,5,3,8,
9,6,16,6,8,18,6,3,8,
10,6,16,7,8,18,5,4,7,
10,6,17,5,7,18,4,3,6,
9,6,16,7,9,18,5,1,7,
9,7,17,7,8,19,5,3,7,
9,6,17,6,8,19,4,4,6,
9,7,17,5,8,20,6,3,7,
10,7,16,5,9,19,5,3,8,
9,6,17,6,9,18,5,2,7,
9,8,17,7,9,19,5,3,6,
9,7,17,7,9,19,4,3,7,
10,7,16,6,8,19,4,2,7,
11,6,16,7,10,20,3,3,7,
9,6,17,7,10,21,5,2,7,
9,6,17,6,8,19,6,2,6,
8,6,16,7,10,20,5,3,7,
9,6,16,7,9,19,4,3,6,
10,8,17,7,9,19,5,3,7,
9,7,17,6,8,20,4,3,7,
8,7,17,7,10,20,4,3,6,
9,6,17,7,8,19,5,3,7,
10,6,16,6,9,18,4,2,8,
9,6,16,6,9,19,5,4,8,
8,7,17,6,9,21,5,4,9,
9,7,17,6,9,20,6,3,9,
9,7,17,7,10,18,4,4,8,
9,7,18,7,9,19,4,4,9,
10,8,17,7,9,20,4,3,7,
8,6,16,6,8,19,5,3,8,
11,7,17,7,8,20,4,4,8,
10,8,17,6,8,19,3,2,8,
10,6,17,7,9,19,3,3,7,
10,6,17,8,8,19,4,2,8,
9,8,17,7,8,19,5,3,8,
9,7,17,7,9,19,3,3,8,
9,7,17,7,9,18,3,4,7,
10,7,17,7,8,19,5,4,7,
9,8,18,7,9,19,4,3,8,
10,6,17,7,8,18,6,4,7,
10,8,17,6,9,19,4,4,7,
10,6,17,7,8,19,5,3,7,
9,6,17,6,8,18,5,3,7,
9,8,17,6,9,19,4,2,7,
10,7,17,7,8,18,4,2,7,
9,7,17,7,9,19,6,4,8,
10,7,16,6,7,18,5,3,8,
10,8,17,6,9,18,5,2,7,
10,7,18,6,9,19,5,3,7,
9,8,18,6,9,19,4,3,8,
10,8,18,5,8,18,5,3,7,
10,6,17,7,9,18,5,2,8,
8,8,18,6,9,17,5,3,7,
11,8,17,8,8,18,4,3,8,
10,8,18,6,8,18,5,4,7,
11,8,17,6,8,19,4,2,8,
9,8,17,6,7,19,4,3,8,
9,7,18,5,9,18,5,3,8,
10,7,17,7,8,17,3,3,8,
10,7,17,6,7,17,5,4,8,
9,8,18,6,8,19,6,3,8,
10,7,18,6,8,18,5,2,7,
12,7,18,6,8,19,5,2,8,
9,8,18,5,7,18,5,3,8,
10,7,18,5,9,18,3,3,7,
10,7,17,6,8,18,5,3,7,
10,7,18,6,7,19,5,4,8,
10,8,17,6,8,18,6,3,7,
10,6,18,6,8,20,3,2,8,
9,6,17,7,8,20,6,4,8,
9,8,18,6,8,19,5,2,8,
10,8,18,6,7,19,5,3,8,
10,7,18,6,9,18,4,2,7,
9,6,17,7,9,19,4,3,8,
10,7,17,7,9,19,5,3,8,
10,7,18,7,9,20,5,4,7,
9,6,16,6,8,19,5,3,8,
9,7,17,7,9,19,4,2,8,
10,8,17,6,8,19,5,3,6,
10,7,16,8,8,18,3,3,7,
8,8,17,6,9,18,5,4,8,
10,7,17,6,8,19,5,3,6,
10,8,16,7,8,19,5,4,7,
10,7,16,7,8,19,4,4,7,
9,8,18,7,8,20,4,4,7,
9,8,18,6,9,18,5,2,7,
10,7,17,6,9,20,5,3,6,
9,7,18,7,8,19,3,3,8,
8,7,17,6,9,19,5,4,8,
10,7,17,4,8,18,4,2,8,
9,7,17,6,8,19,5,4,8,
10,7,17,6,8,19,5,2,6,
11,7,17,6,8,19,6,3,8,
10,8,17,7,8,20,5,3,7,
10,6,18,7,8,20,4,4,8,
9,7,17,7,8,19,4,2,6,
9,8,16,8,10,20,3,2,7,
9,8,17,6,9,20,5,3,8,
10,6,17,7,9,20,4,3,6,
8,7,18,7,9,20,4,2,8,
9,6,18,7,9,20,5,3,7,
10,8,18,7,9,20,6,3,8,
9,8,18,6,8,19,4,3,7,
9,7,18,7,8,19,5,3,8,
10,6,17,6,9,20,4,2,7,
10,8,17,6,8,20,5,3,7,
10,6,17,7,9,20,5,3,8,
8,8,18,6,9,20,5,2,7,
9,6,17,5,8,20,4,2,8,
8,7,17,6,9,19,5,3,7,
8,8,17,7,10,20,5,4,8,
9,7,17,6,9,20,4,2,7,
8,6,18,6,9,20,6,3,8,
9,7,17,6,10,18,5,4,6,
9,7,16,7,9,19,4,2,8,
10,8,18,7,9,20,5,4,7,
10,7,17,7,8,19,4,4,8,
10,7,17,6,9,19,4,2,6,
10,6,16,6,9,20,5,3,6,
10,6,17,7,8,19,4,2,7,
9,8,17,7,8,18,5,4,8,
9,7,17,8,9,20,4,2,8,
10,7,16,7,9,18,5,3,8,
10,7,17,6,8,20,5,2,8,
10,7,17,7,8,19,5,4,7,
10,7,18,6,8,20,5,3,7,
10,7,17,8,9,19,5,4,7,
10,7,17,6,8,18,5,4,8,
11,6,18,7,9,18,5,4,8,
10,6,17,8,9,20,5,3,8,
8,6,17,5,9,20,5,3,7,
10,7,17,6,9,20,4,3,9,
10,8,17,6,9,19,5,3,7,
12,6,17,8,8,20,5,3,7,
10,7,17,7,10,20,3,2,8,
9,8,17,6,8,19,4,3,7,
9,7,17,6,8,20,5,3,7,
10,7,17,7,8,20,5,3,7,
9,7,17,7,9,20,3,2,8,
9,7,17,8,9,19,4,3,8,
9,6,17,7,10,20,4,3,7,
8,8,17,7,9,19,5,3,7,
10,6,17,7,8,19,4,2,7,
10,6,16,6,9,19,5,3,7,
11,8,17,7,9,19,5,3,8,
8,8,18,6,10,19,5,4,8,
11,7,17,7,8,20,5,2,7,
8,6,16,6,9,20,4,3,7,
10,7,17,7,9,19,3,3,8,
10,7,17,7,8,20,4,4,7,
9,8,17,5,8,20,4,4,8,
9,7,18,7,9,20,5,3,6,
8,8,17,6,8,19,4,3,7,
9,6,17,7,9,20,5,3,7,
8,7,17,7,9,19,4,2,8,
9,6,17,7,9,20,3,2,7,
10,6,18,7,8,19,4,4,8,
9,7,16,7,9,20,4,3,8,
9,7,16,8,7,20,5,3,7,
10,7,17,6,9,20,4,3,8,
9,6,18,8,9,20,4,4,8,
9,6,17,6,8,20,5,3,8,
10,7,15,7,9,19,4,3,7,
10,7,17,7,9,19,5,3,7,
11,8,17,6,10,19,5,3,8,
9,7,17,7,9,19,4,2,7,
10,6,17,7,8,19,4,2,7,
9,7,18,6,9,19,5,2,7,
9,7,17,7,8,19,5,2,7,
9,6,18,6,9,20,5,2,8,
8,6,17,7,8,19,5,3,8,
8,7,18,6,9,20,5,3,8,
9,7,17,6,10,20,5,2,8,
9,6,17,7,8,20,4,3,6,
10,6,18,7,10,20,4,3,9,
10,6,17,7,8,20,5,3,8,
10,6,17,7,9,20,3,3,7,
10,7,16,6,9,19,3,4,7,
10,6,16,6,8,19,5,3,7,
8,6,18,7,8,20,5,2,8,
10,7,17,6,7,19,5,3,7,
10,7,18,8,9,19,4,2,8,
10,6,16,6,9,20,5,3,7,
8,7,16,7,7,20,5,4,7,
8,7,18,8,10,20,5,3,7,
6,7,18,6,9,20,5,3,7,
10,7,17,7,9,19,5,3,7,
10,7,17,6,8,20,4,3,7,
9,7,17,6,9,20,5,3,7,
10,8,17,7,8,20,4,2,8,
10,7,16,7,8,19,3,3,8,
9,8,17,5,9,20,6,2,8,
8,7,17,6,8,20,4,3,8,
9,7,18,7,7,20,5,2,7,
9,8,17,7,8,20,4,4,7,
9,7,17,6,8,19,5,4,8,
9,6,18,7,9,18,4,3,8,
8,6,17,7,8,19,4,3,8,
10,6,17,6,8,18,5,3,8,
10,8,16,7,9,20,5,3,9,
9,7,17,6,7,18,5,3,7,
9,7,17,7,8,19,5,2,9,
8,7,18,6,9,19,4,3,8,
9,7,18,8,9,18,5,3,7,
10,6,17,6,7,19,5,3,7,
10,6,16,7,8,18,5,3,7,
10,7,17,6,8,19,5,3,8,
10,7,17,7,8,19,5,3,7,
10,6,17,7,8,19,5,3,8,
10,7,18,6,9,19,5,3,9,
10,7,17,5,9,18,4,2,8,
9,6,18,7,8,20,6,3,7,
10,7,18,5,8,19,5,3,9,
11,7,18,6,8,19,5,3,9,
11,7,17,5,8,19,5,4,7,
11,7,17,6,8,19,4,3,6,
10,7,18,5,7,19,5,4,7,
9,7,16,8,9,20,5,3,7,
9,8,18,6,8,19,4,3,7,
8,7,17,6,8,19,4,3,8,
10,6,17,7,8,20,5,3,7,
10,8,17,7,8,18,3,3,9,
11,7,17,7,9,20,4,2,9,
11,8,16,6,8,20,3,3,8,
8,7,17,7,9,19,4,4,8,
10,6,17,7,9,20,5,3,8,
10,8,17,6,7,19,5,4,8,
9,8,17,7,7,18,5,3,8,
10,8,17,6,9,18,4,4,9,
10,8,17,6,8,19,5,2,9,
10,7,17,5,9,18,4,3,7,
10,7,16,6,7,19,4,2,7,
10,7,16,5,9,18,5,3,8,
10,7,18,6,10,19,4,4,8,
