%time,field0,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,field39,field40,field41,field42,field43,field44,field45,field46,field47,field48,field49,field50,field51,field52,field53,field54,field55,field56,field57,field58,field59,field60,field61,field62,field63,field64,field65,field66,field67,field68,field69,field70,field71,field72,field73,field74,field75,field76,field77,field78,field79,field80,field81,field82,field83,field84,field85,field86,field87,field88,field89,field90,field91,field92,field93,field94,field95,field96,field97,field98,field99,field100,field101,field102,field103,field104,field105,field106,field107,field108,field109,field110,field111,field112,field113,field114,field115,field116,field117,field118,field119,field120,field121,field122,field123,field124,field125,field126,field127,field128,field129,field130,field131,field132,field133,field134,field135,field136,field137,field138,field139,field140,field141,field142,field143
1582898539764301061,7.0,8.0,71.0,9.0,9.0,8.0,49.0,6.0,96.0,8.0,32.0,10.0,6.0,9.0,52.0,21.0,9.0,7.0,8.0,8.0,22.0,0.0,25.0,9.0,9.0,7.0,37.0,7.0,9.0,9.0,48.0,7.0,88.0,7.0,16.0,12.0,8.0,8.0,28.0,9.0,11.0,8.0,48.0,7.0,82.0,7.0,13.0,7.0,8.0,8.0,29.0,7.0,49.0,23.0,56.0,7.0,83.0,7.0,47.0,41.0,7.0,7.0,27.0,19.0,37.0,19.0,15.0,7.0,15.0,6.0,36.0,33.0,8.0,9.0,23.0,11.0,27.0,16.0,52.0,6.0,80.0,8.0,26.0,23.0,8.0,14.0,23.0,21.0,21.0,13.0,12.0,6.0,27.0,3.0,21.0,20.0,7.0,13.0,25.0,11.0,17.0,11.0,48.0,7.0,92.0,9.0,16.0,16.0,7.0,11.0,77.0,19.0,14.0,11.0,9.0,8.0,32.0,0.0,13.0,15.0,7.0,10.0,106.0,9.0,11.0,9.0,45.0,4.0,105.0,6.0,11.0,11.0,6.0,9.0,96.0,9.0,10.0,10.0,48.0,7.0,102.0,7.0,11.0,32266.0
1582898539784343004,7.0,9.0,70.0,9.0,9.0,8.0,49.0,6.0,96.0,8.0,32.0,10.0,8.0,8.0,51.0,19.0,10.0,9.0,9.0,7.0,21.0,0.0,23.0,11.0,9.0,8.0,37.0,53.0,9.0,8.0,8.0,6.0,19.0,0.0,19.0,8.0,8.0,8.0,29.0,8.0,8.0,8.0,48.0,8.0,83.0,7.0,14.0,9.0,8.0,7.0,29.0,7.0,48.0,22.0,57.0,6.0,85.0,8.0,47.0,44.0,8.0,7.0,27.0,18.0,35.0,18.0,15.0,8.0,15.0,3.0,35.0,33.0,8.0,9.0,22.0,11.0,27.0,16.0,51.0,6.0,72.0,7.0,26.0,27.0,8.0,15.0,25.0,16.0,20.0,12.0,12.0,7.0,28.0,3.0,20.0,21.0,9.0,12.0,25.0,11.0,17.0,11.0,49.0,6.0,77.0,8.0,15.0,16.0,7.0,11.0,75.0,21.0,13.0,11.0,11.0,8.0,31.0,0.0,15.0,13.0,8.0,11.0,105.0,9.0,11.0,10.0,48.0,7.0,102.0,7.0,11.0,11.0,6.0,9.0,96.0,9.0,10.0,10.0,48.0,7.0,102.0,7.0,11.0,32266.0
1582898539804342985,7.0,8.0,70.0,11.0,9.0,8.0,48.0,8.0,98.0,8.0,30.0,12.0,7.0,8.0,51.0,20.0,10.0,7.0,11.0,8.0,22.0,0.0,23.0,11.0,6.0,9.0,39.0,5.0,9.0,9.0,48.0,7.0,89.0,6.0,19.0,11.0,8.0,9.0,28.0,8.0,10.0,8.0,47.0,7.0,78.0,8.0,14.0,10.0,8.0,7.0,29.0,8.0,49.0,22.0,55.0,8.0,88.0,8.0,48.0,43.0,8.0,8.0,27.0,17.0,36.0,19.0,16.0,8.0,14.0,1.0,34.0,31.0,8.0,9.0,21.0,11.0,27.0,17.0,51.0,6.0,81.0,9.0,29.0,24.0,8.0,14.0,25.0,21.0,21.0,12.0,13.0,7.0,27.0,1.0,23.0,20.0,8.0,12.0,25.0,11.0,17.0,13.0,49.0,6.0,93.0,7.0,17.0,17.0,7.0,11.0,75.0,21.0,13.0,11.0,11.0,8.0,31.0,0.0,15.0,13.0,8.0,11.0,105.0,9.0,11.0,10.0,48.0,7.0,102.0,7.0,11.0,11.0,8.0,9.0,95.0,7.0,10.0,9.0,45.0,6.0,93.0,8.0,11.0,32265.0
1582898539824282884,8.0,8.0,71.0,9.0,10.0,9.0,48.0,7.0,93.0,8.0,32.0,11.0,6.0,8.0,52.0,18.0,9.0,8.0,8.0,8.0,23.0,3.0,25.0,12.0,8.0,9.0,38.0,7.0,9.0,7.0,48.0,7.0,87.0,7.0,19.0,12.0,9.0,8.0,29.0,53.0,8.0,9.0,9.0,7.0,15.0,0.0,13.0,10.0,8.0,9.0,28.0,7.0,48.0,22.0,55.0,6.0,82.0,5.0,48.0,42.0,8.0,8.0,27.0,20.0,36.0,19.0,15.0,7.0,12.0,0.0,33.0,33.0,7.0,8.0,21.0,8.0,27.0,16.0,51.0,6.0,83.0,8.0,25.0,24.0,8.0,14.0,25.0,21.0,21.0,12.0,13.0,7.0,27.0,1.0,23.0,20.0,8.0,12.0,25.0,11.0,17.0,13.0,49.0,6.0,93.0,7.0,17.0,17.0,8.0,11.0,76.0,21.0,14.0,13.0,10.0,7.0,31.0,0.0,14.0,14.0,8.0,10.0,105.0,11.0,12.0,9.0,47.0,7.0,105.0,8.0,12.0,12.0,7.0,9.0,97.0,7.0,11.0,8.0,45.0,7.0,103.0,6.0,8.0,32266.0
1582898539844407081,7.0,8.0,69.0,8.0,10.0,10.0,49.0,6.0,88.0,5.0,32.0,10.0,7.0,8.0,51.0,17.0,9.0,9.0,8.0,7.0,22.0,1.0,28.0,11.0,8.0,8.0,37.0,7.0,8.0,8.0,48.0,7.0,79.0,6.0,20.0,9.0,8.0,8.0,28.0,9.0,9.0,8.0,46.0,8.0,83.0,7.0,14.0,9.0,8.0,7.0,30.0,7.0,48.0,23.0,56.0,7.0,83.0,8.0,47.0,42.0,8.0,8.0,27.0,20.0,36.0,19.0,15.0,7.0,12.0,0.0,33.0,33.0,7.0,8.0,21.0,8.0,27.0,16.0,51.0,6.0,83.0,8.0,25.0,24.0,7.0,13.0,24.0,20.0,21.0,12.0,12.0,7.0,29.0,0.0,20.0,20.0,8.0,13.0,26.0,11.0,17.0,11.0,48.0,6.0,92.0,8.0,15.0,16.0,7.0,11.0,76.0,21.0,13.0,11.0,9.0,7.0,30.0,0.0,13.0,13.0,8.0,10.0,105.0,9.0,11.0,10.0,46.0,7.0,97.0,9.0,13.0,12.0,8.0,9.0,97.0,9.0,11.0,9.0,48.0,8.0,105.0,7.0,8.0,32266.0
1582898539864295005,7.0,8.0,71.0,9.0,9.0,9.0,9.0,8.0,30.0,7.0,30.0,10.0,7.0,9.0,51.0,20.0,9.0,10.0,9.0,8.0,22.0,0.0,26.0,10.0,7.0,8.0,37.0,8.0,9.0,8.0,48.0,7.0,89.0,6.0,21.0,11.0,8.0,8.0,28.0,9.0,9.0,8.0,46.0,8.0,83.0,7.0,14.0,9.0,8.0,7.0,30.0,7.0,48.0,23.0,56.0,7.0,83.0,8.0,47.0,42.0,8.0,8.0,25.0,19.0,35.0,19.0,16.0,6.0,14.0,3.0,35.0,33.0,7.0,9.0,21.0,9.0,27.0,15.0,52.0,6.0,86.0,9.0,25.0,23.0,8.0,14.0,24.0,22.0,20.0,14.0,13.0,7.0,26.0,0.0,21.0,20.0,8.0,11.0,24.0,9.0,16.0,12.0,49.0,7.0,90.0,9.0,17.0,16.0,7.0,9.0,75.0,20.0,13.0,10.0,8.0,8.0,30.0,0.0,13.0,13.0,7.0,10.0,105.0,11.0,12.0,9.0,48.0,8.0,102.0,8.0,10.0,11.0,7.0,10.0,95.0,9.0,10.0,9.0,48.0,8.0,104.0,7.0,10.0,32268.0
1582898539906202077,7.0,8.0,71.0,9.0,9.0,8.0,48.0,7.0,90.0,7.0,33.0,10.0,7.0,9.0,51.0,20.0,9.0,10.0,9.0,8.0,22.0,0.0,26.0,10.0,7.0,8.0,37.0,8.0,9.0,8.0,48.0,7.0,89.0,6.0,21.0,11.0,9.0,9.0,27.0,8.0,9.0,7.0,46.0,7.0,82.0,9.0,12.0,8.0,8.0,7.0,29.0,54.0,49.0,23.0,17.0,7.0,15.0,0.0,48.0,41.0,7.0,7.0,27.0,7.0,36.0,19.0,53.0,7.0,77.0,11.0,35.0,32.0,6.0,8.0,21.0,11.0,27.0,16.0,52.0,6.0,85.0,8.0,26.0,26.0,7.0,13.0,24.0,21.0,21.0,13.0,12.0,8.0,27.0,0.0,20.0,21.0,8.0,13.0,24.0,11.0,17.0,12.0,49.0,8.0,86.0,8.0,17.0,14.0,6.0,12.0,75.0,19.0,13.0,10.0,10.0,8.0,30.0,0.0,13.0,13.0,7.0,11.0,105.0,8.0,11.0,9.0,48.0,8.0,104.0,8.0,11.0,12.0,7.0,9.0,95.0,7.0,11.0,9.0,46.0,7.0,98.0,7.0,11.0,32264.0
1582898539906351089,5.0,8.0,68.0,7.0,10.0,8.0,48.0,7.0,90.0,7.0,33.0,10.0,7.0,7.0,51.0,19.0,9.0,6.0,9.0,7.0,22.0,2.0,25.0,11.0,8.0,8.0,37.0,11.0,10.0,8.0,48.0,8.0,78.0,6.0,16.0,10.0,9.0,8.0,27.0,5.0,9.0,8.0,46.0,7.0,81.0,7.0,14.0,10.0,8.0,8.0,29.0,9.0,49.0,22.0,56.0,8.0,75.0,6.0,48.0,41.0,8.0,7.0,27.0,18.0,37.0,17.0,16.0,8.0,14.0,5.0,37.0,32.0,8.0,9.0,20.0,9.0,27.0,15.0,52.0,7.0,85.0,9.0,27.0,24.0,8.0,14.0,25.0,21.0,21.0,13.0,13.0,6.0,26.0,0.0,21.0,19.0,8.0,12.0,25.0,11.0,17.0,12.0,48.0,6.0,85.0,8.0,17.0,16.0,7.0,11.0,75.0,21.0,14.0,11.0,10.0,7.0,30.0,0.0,14.0,15.0,8.0,10.0,106.0,9.0,12.0,9.0,48.0,6.0,105.0,5.0,11.0,10.0,7.0,9.0,95.0,7.0,11.0,9.0,46.0,7.0,98.0,7.0,11.0,32264.0
1582898539950213909,6.0,9.0,70.0,9.0,10.0,9.0,48.0,8.0,98.0,5.0,31.0,10.0,6.0,8.0,50.0,21.0,9.0,7.0,9.0,7.0,22.0,0.0,23.0,9.0,7.0,8.0,38.0,5.0,9.0,8.0,48.0,7.0,89.0,6.0,17.0,12.0,8.0,8.0,28.0,9.0,9.0,8.0,47.0,6.0,79.0,9.0,14.0,11.0,7.0,8.0,29.0,7.0,50.0,22.0,55.0,7.0,82.0,9.0,49.0,40.0,55.0,7.0,29.0,7.0,37.0,18.0,0.0,7.0,10.0,10.0,34.0,32.0,7.0,8.0,22.0,10.0,27.0,17.0,13.0,6.0,15.0,9.0,26.0,23.0,8.0,13.0,24.0,53.0,21.0,13.0,11.0,8.0,25.0,0.0,21.0,22.0,7.0,13.0,26.0,9.0,17.0,12.0,47.0,7.0,88.0,8.0,17.0,16.0,7.0,11.0,75.0,21.0,14.0,11.0,10.0,7.0,30.0,0.0,14.0,15.0,8.0,10.0,106.0,9.0,12.0,9.0,48.0,6.0,105.0,5.0,11.0,10.0,7.0,10.0,95.0,9.0,11.0,8.0,46.0,7.0,99.0,8.0,9.0,32265.0
1582898539950330972,10.0,9.0,69.0,7.0,10.0,9.0,48.0,7.0,91.0,8.0,31.0,10.0,8.0,7.0,51.0,18.0,8.0,9.0,8.0,8.0,22.0,3.0,25.0,12.0,8.0,9.0,37.0,7.0,9.0,8.0,48.0,6.0,83.0,6.0,18.0,9.0,8.0,7.0,28.0,8.0,8.0,7.0,44.0,7.0,84.0,7.0,12.0,11.0,8.0,8.0,30.0,8.0,49.0,22.0,57.0,7.0,86.0,8.0,47.0,39.0,8.0,8.0,26.0,20.0,36.0,20.0,16.0,8.0,14.0,1.0,33.0,32.0,9.0,9.0,21.0,10.0,28.0,16.0,49.0,7.0,85.0,8.0,27.0,25.0,8.0,13.0,24.0,53.0,21.0,13.0,11.0,8.0,25.0,0.0,21.0,22.0,7.0,13.0,26.0,9.0,17.0,12.0,47.0,7.0,88.0,8.0,17.0,16.0,7.0,10.0,76.0,20.0,13.0,11.0,10.0,8.0,32.0,0.0,13.0,14.0,9.0,10.0,104.0,9.0,11.0,10.0,46.0,6.0,104.0,7.0,11.0,11.0,7.0,11.0,96.0,7.0,10.0,8.0,48.0,8.0,94.0,7.0,10.0,32267.0
1582898539994194984,7.0,9.0,70.0,8.0,9.0,8.0,49.0,6.0,95.0,7.0,32.0,9.0,7.0,8.0,52.0,19.0,9.0,9.0,9.0,7.0,23.0,1.0,23.0,10.0,7.0,8.0,38.0,7.0,9.0,8.0,48.0,8.0,71.0,7.0,18.0,12.0,9.0,8.0,29.0,9.0,8.0,7.0,47.0,8.0,71.0,6.0,13.0,8.0,7.0,8.0,30.0,7.0,50.0,22.0,56.0,7.0,83.0,7.0,47.0,42.0,8.0,8.0,26.0,20.0,36.0,20.0,16.0,8.0,14.0,1.0,33.0,32.0,9.0,9.0,21.0,10.0,28.0,16.0,49.0,7.0,85.0,8.0,27.0,25.0,8.0,13.0,24.0,21.0,19.0,15.0,12.0,7.0,26.0,3.0,20.0,19.0,8.0,12.0,24.0,11.0,17.0,9.0,49.0,8.0,89.0,6.0,17.0,16.0,8.0,11.0,77.0,21.0,13.0,10.0,10.0,7.0,30.0,0.0,13.0,15.0,8.0,9.0,106.0,9.0,11.0,9.0,48.0,8.0,107.0,6.0,11.0,13.0,8.0,9.0,96.0,8.0,10.0,9.0,46.0,7.0,99.0,6.0,9.0,32266.0
1582898539994328975,7.0,8.0,69.0,7.0,9.0,8.0,48.0,8.0,87.0,6.0,30.0,7.0,8.0,9.0,50.0,20.0,9.0,9.0,8.0,7.0,23.0,2.0,24.0,10.0,8.0,8.0,38.0,8.0,9.0,8.0,48.0,7.0,80.0,8.0,18.0,10.0,9.0,8.0,29.0,9.0,8.0,7.0,47.0,8.0,71.0,6.0,13.0,8.0,7.0,8.0,30.0,7.0,50.0,22.0,56.0,7.0,83.0,7.0,47.0,42.0,8.0,8.0,27.0,18.0,37.0,19.0,16.0,8.0,14.0,4.0,37.0,32.0,8.0,9.0,21.0,56.0,27.0,16.0,13.0,7.0,15.0,0.0,26.0,26.0,8.0,14.0,23.0,11.0,21.0,13.0,51.0,7.0,92.0,7.0,21.0,20.0,8.0,13.0,25.0,11.0,16.0,13.0,49.0,7.0,89.0,8.0,16.0,17.0,7.0,11.0,76.0,20.0,14.0,13.0,11.0,7.0,32.0,0.0,14.0,14.0,7.0,9.0,105.0,9.0,11.0,10.0,48.0,7.0,107.0,8.0,12.0,12.0,7.0,10.0,96.0,9.0,10.0,9.0,46.0,7.0,100.0,7.0,10.0,32265.0
