A1,A2,A3,B1,B2,B3,C1,C2,C3,
33,65,10,21,40,5,8,18,6,
33,64,8,20,40,4,8,18,5,
34,65,8,21,41,5,9,17,5,
33,65,8,21,40,5,8,17,5,
33,64,9,21,41,4,9,18,5,
32,65,8,21,39,5,7,18,6,
33,64,7,20,40,5,8,19,6,
32,65,8,21,39,4,9,18,5,
32,65,9,21,38,5,7,18,5,
33,65,9,20,39,4,9,18,5,
33,66,7,20,40,6,9,18,5,
33,65,8,21,40,4,8,17,5,
32,65,7,21,39,4,9,17,5,
32,65,9,21,40,6,8,17,4,
33,65,7,20,40,4,8,17,5,
33,65,9,20,40,5,7,17,6,
33,64,7,21,40,5,7,18,6,
31,65,7,21,40,6,8,18,6,
32,66,9,21,40,5,8,17,6,
33,66,7,22,39,5,7,17,4,
32,65,7,19,40,5,7,17,5,
34,64,9,21,38,5,8,18,5,
33,65,8,21,40,5,8,17,6,
33,65,7,22,40,5,9,18,4,
33,65,8,21,39,5,7,18,5,
34,64,8,22,40,5,8,18,4,
33,66,9,20,40,6,8,18,6,
32,64,8,22,39,5,9,18,6,
33,66,8,19,40,5,8,19,4,
32,65,9,19,39,5,8,16,5,
33,64,8,21,39,4,7,17,5,
32,64,8,21,40,6,8,17,5,
32,64,8,21,40,6,8,17,5,
33,65,7,20,40,5,7,18,5,
34,65,8,22,40,5,8,17,5,
32,64,7,21,39,6,7,18,6,
33,66,8,22,39,5,8,17,6,
33,65,7,21,39,5,8,19,6,
33,64,8,20,40,4,7,17,5,
32,66,7,21,40,4,8,16,5,
33,65,7,21,40,5,7,17,6,
33,65,8,20,40,5,8,17,5,
34,66,7,21,40,5,7,17,5,
33,66,7,20,40,5,9,18,5,
33,65,7,21,41,4,7,17,5,
33,64,7,20,40,4,8,18,6,
33,65,9,19,39,4,7,18,5,
32,66,8,21,39,4,9,18,6,
31,65,8,20,40,5,7,19,5,
33,65,9,21,40,5,7,18,5,
31,67,6,21,40,5,8,18,6,
33,65,8,21,41,6,8,17,6,
32,64,7,21,39,4,7,18,5,
32,66,8,21,40,5,7,17,6,
33,66,8,21,39,5,7,18,5,
33,65,7,21,40,4,7,18,6,
33,65,8,21,40,5,8,17,4,
33,66,8,21,40,4,8,17,6,
32,65,8,20,41,4,9,18,5,
32,65,8,20,40,5,7,18,6,
32,66,8,20,40,5,7,17,5,
32,66,8,19,40,5,8,18,5,
33,65,7,21,40,5,7,18,6,
33,66,6,21,40,4,8,17,6,
33,66,7,20,40,4,8,17,5,
33,65,8,20,40,5,8,17,5,
32,65,7,21,39,4,8,18,6,
32,64,8,21,40,4,9,17,5,
33,65,8,20,40,5,9,17,4,
33,66,6,20,40,6,8,18,4,
33,65,7,21,40,4,9,17,5,
33,66,8,21,39,4,9,17,5,
33,64,7,19,39,4,7,18,5,
33,65,7,21,40,5,8,18,5,
33,65,7,20,38,6,9,19,4,
33,65,6,21,39,4,8,18,4,
33,65,8,19,41,5,9,18,4,
33,64,8,22,40,4,7,17,6,
33,65,6,20,39,3,7,17,5,
33,65,8,21,40,4,9,17,5,
33,65,7,21,40,5,8,18,5,
33,65,8,19,39,6,8,19,4,
31,65,8,21,39,5,8,18,5,
33,64,7,20,39,5,9,18,6,
33,65,7,21,39,5,8,18,6,
32,66,8,20,40,5,8,16,5,
33,64,8,20,39,6,8,18,6,
34,65,8,21,40,4,9,18,4,
33,65,6,21,39,5,8,17,4,
34,65,8,21,39,5,8,16,5,
33,65,6,21,39,5,9,18,6,
33,65,8,21,39,4,8,17,6,
32,64,8,21,40,6,8,17,6,
32,65,8,20,40,5,8,17,5,
33,66,8,21,39,5,9,18,5,
33,65,8,21,40,5,8,18,4,
32,65,7,21,39,4,9,18,5,
32,65,7,21,39,6,8,18,5,
32,64,7,19,39,5,9,17,5,
33,65,7,21,39,4,8,18,6,
32,65,8,21,40,5,7,18,6,
32,65,8,19,39,5,8,18,6,
32,65,7,21,39,5,9,17,6,
33,64,7,21,40,5,8,17,5,
33,65,7,20,40,5,9,17,4,
33,66,7,21,39,4,7,18,5,
33,64,7,21,40,5,9,18,6,
34,65,7,20,39,4,9,18,6,
33,64,7,21,40,4,8,17,5,
33,65,7,20,41,5,10,18,5,
32,64,8,20,40,6,9,17,4,
33,64,8,20,40,6,9,17,5,
32,65,8,21,39,4,8,19,6,
32,65,8,20,39,5,8,18,6,
33,65,8,21,39,6,8,19,6,
33,65,8,20,39,5,8,18,5,
33,64,7,20,39,5,9,18,5,
34,65,7,20,39,5,8,18,5,
33,65,8,19,41,5,9,17,6,
33,64,7,21,39,5,9,18,5,
33,65,8,22,38,5,9,18,5,
33,64,8,19,40,5,8,17,6,
32,65,7,20,39,4,9,19,6,
33,65,8,20,39,4,9,19,5,
33,65,8,21,38,5,8,18,5,
34,65,8,21,39,5,9,17,5,
33,65,7,21,40,4,8,18,5,
33,65,6,20,40,5,8,18,5,
33,65,8,19,38,5,8,17,5,
33,65,8,22,40,5,9,18,5,
34,64,7,21,40,4,8,18,6,
33,64,8,21,40,6,10,18,7,
31,64,8,20,39,5,9,18,5,
33,63,8,20,40,4,9,18,5,
33,64,8,20,40,6,8,17,5,
34,64,8,21,40,5,8,17,6,
33,64,9,21,40,5,9,18,5,
32,65,8,21,39,5,7,18,6,
34,64,8,20,40,6,10,19,6,
33,64,8,20,40,4,8,18,7,
33,64,8,20,39,6,8,18,5,
33,65,7,22,39,5,7,18,5,
33,64,8,22,38,6,9,18,5,
32,64,7,22,39,5,9,18,6,
32,64,6,21,39,6,7,19,6,
33,64,7,20,39,4,8,18,5,
32,64,10,21,39,4,8,17,6,
32,63,7,21,40,4,9,18,6,
33,63,8,20,39,5,9,18,6,
33,64,7,20,40,5,8,18,6,
32,64,8,20,39,5,8,19,6,
33,64,8,20,40,5,8,19,6,
32,64,7,21,39,5,7,19,6,
32,64,8,21,38,4,7,17,5,
33,65,8,21,40,5,8,18,5,
33,64,7,21,40,5,9,18,5,
33,63,6,21,38,4,9,18,6,
32,64,7,21,40,6,9,17,4,
34,64,7,20,39,4,9,19,5,
33,64,8,21,39,6,8,18,5,
33,64,8,21,38,5,8,17,4,
33,64,7,22,39,5,8,19,4,
33,64,6,19,39,6,8,18,6,
33,63,7,21,39,5,9,18,5,
33,63,7,21,39,5,7,17,4,
33,63,8,22,39,5,9,18,5,
33,64,6,21,40,5,9,18,5,
32,63,8,20,39,5,8,18,5,
33,64,6,22,39,5,8,18,5,
34,64,7,19,40,6,8,18,5,
33,62,6,21,39,5,9,17,4,
33,64,8,21,40,4,8,17,4,
32,64,7,21,41,5,9,18,5,
32,64,7,21,39,4,9,17,5,
33,64,7,20,39,5,8,18,6,
33,64,8,21,39,5,8,18,6,
32,64,8,21,39,5,7,19,4,
32,64,8,21,40,6,9,18,5,
32,64,9,20,40,5,8,19,4,
34,64,7,20,40,5,9,18,5,
33,64,7,21,40,4,9,18,6,
32,63,9,22,40,6,8,18,5,
34,65,8,22,38,5,8,18,6,
33,64,8,21,39,5,8,19,5,
33,64,7,19,39,4,8,18,6,
34,64,8,20,40,5,9,18,5,
33,65,7,21,40,4,9,18,5,
33,63,8,21,40,5,9,18,5,
33,64,7,20,40,5,9,18,5,
33,64,7,21,41,6,9,18,6,
33,63,7,21,39,4,8,19,6,
33,64,8,21,39,5,8,18,5,
33,64,8,22,40,3,9,19,6,
33,64,8,20,40,5,7,18,5,
33,64,6,21,39,4,8,18,5,
34,63,8,22,39,5,9,18,6,
34,64,9,21,39,5,9,19,5,
34,64,8,21,39,5,9,18,5,
33,64,8,21,39,6,9,17,6,
33,64,7,21,40,5,9,18,6,
33,64,7,21,39,5,9,18,5,
33,65,8,21,40,5,8,18,5,
32,64,8,20,40,5,8,19,6,
34,65,8,22,39,5,9,19,5,
33,64,8,20,40,4,8,18,5,
33,64,8,21,40,5,9,18,6,
33,64,6,21,40,3,10,18,5,
34,64,8,21,40,5,9,19,7,
33,66,8,21,39,5,9,19,6,
33,65,8,21,40,4,9,17,6,
32,65,8,20,40,4,8,18,6,
33,66,7,19,40,5,8,19,6,
32,65,7,21,41,5,8,18,6,
33,65,9,22,40,4,9,18,6,
33,65,8,21,40,4,8,18,5,
33,66,7,20,40,5,8,18,5,
34,66,7,20,41,3,8,18,5,
32,66,8,21,40,5,9,19,5,
32,65,6,21,40,5,9,18,6,
33,65,8,22,39,4,8,18,5,
33,65,8,21,40,6,10,18,7,
32,65,8,20,41,5,8,18,5,
32,64,8,21,41,4,8,19,5,
33,65,7,21,40,4,9,18,5,
33,64,7,20,41,5,9,19,6,
32,66,8,20,40,5,9,19,5,
33,65,7,22,41,4,8,19,6,
32,65,9,19,41,5,9,18,5,
33,65,8,21,41,5,7,19,6,
33,66,8,21,40,5,8,19,6,
32,65,8,21,41,5,9,18,4,
33,67,9,20,40,5,8,18,5,
33,64,8,21,40,5,9,18,5,
33,65,8,21,41,5,9,17,5,
33,64,8,21,41,6,9,18,6,
32,65,6,22,41,5,8,18,5,
33,65,7,20,41,6,9,17,6,
32,65,8,21,41,5,8,18,5,
33,64,8,21,41,5,8,19,4,
33,65,7,21,40,5,9,18,6,
33,65,8,20,41,5,8,18,6,
33,65,8,19,40,4,7,18,4,
32,64,8,20,41,4,8,18,6,
34,66,8,21,41,5,8,18,5,
33,65,6,21,41,4,8,19,4,
34,65,7,22,42,5,8,18,6,
33,65,8,22,41,6,8,18,5,
32,64,7,21,41,5,7,18,4,
33,65,7,21,41,4,9,18,6,
32,64,6,21,40,5,8,18,4,
32,65,7,20,41,5,8,19,5,
33,65,7,22,41,4,8,17,5,
32,64,7,21,40,5,9,18,5,
33,66,7,21,41,6,9,17,5,
35,65,7,21,42,4,8,19,6,
32,65,7,22,40,5,7,18,5,
34,65,7,22,42,4,9,18,5,
33,64,8,21,40,4,8,18,5,
33,66,7,21,40,5,9,18,6,
33,65,7,21,41,5,8,19,4,
33,65,8,20,42,5,9,18,5,
32,65,7,21,41,6,8,18,5,
32,65,7,21,40,4,7,17,6,
33,65,8,20,40,4,9,18,4,
33,66,8,20,41,5,9,18,6,
33,65,8,20,41,4,9,18,5,
33,65,7,22,41,5,9,19,6,
33,65,8,21,40,4,9,18,5,
33,65,7,21,41,4,9,19,6,
32,65,7,21,42,5,8,19,4,
33,65,8,22,41,5,7,18,5,
33,65,7,20,42,5,8,18,5,
32,65,7,21,40,4,8,18,5,
32,64,8,20,41,6,8,17,6,
33,65,7,21,40,5,7,19,5,
32,65,7,21,41,5,9,19,5,
33,66,8,21,41,4,9,18,6,
32,65,8,20,41,5,8,18,6,
33,64,7,21,40,5,9,18,5,
32,65,8,22,41,4,8,18,5,
33,66,8,21,40,5,9,18,4,
32,65,9,21,42,5,8,18,5,
32,65,7,20,42,6,9,18,6,
34,64,7,22,40,5,8,18,6,
33,65,7,22,41,4,8,18,5,
33,64,6,22,41,4,8,18,4,
32,65,6,20,41,5,8,18,5,
32,65,7,22,41,5,8,19,5,
33,65,7,21,41,5,8,17,5,
32,66,7,21,41,5,7,18,5,
33,65,8,21,42,4,7,19,5,
33,65,7,22,41,6,9,18,5,
34,65,8,21,41,6,9,17,5,
33,64,7,21,41,4,9,17,5,
34,65,6,21,41,6,8,18,4,
32,66,8,22,42,4,8,18,6,
33,64,8,20,41,5,9,19,5,
32,65,8,22,40,5,9,18,6,
33,64,8,20,40,5,9,17,6,
33,64,8,22,42,6,8,18,7,
33,65,7,21,41,5,9,19,6,
33,66,7,20,41,4,10,19,4,
33,64,8,21,40,5,8,19,5,
33,65,8,21,41,5,8,19,5,
33,65,7,21,42,6,8,18,6,
33,65,7,21,40,5,8,18,5,
33,65,7,22,42,5,9,17,6,
32,66,7,21,42,4,9,19,4,
33,64,7,23,41,5,9,18,5,
33,64,7,21,41,4,8,18,6,
33,66,7,21,42,4,9,19,5,
33,65,8,21,41,5,8,19,5,
34,64,9,21,42,4,8,18,5,
33,64,8,22,42,4,8,18,5,
33,65,7,21,41,5,9,18,6,
34,65,8,21,41,5,7,19,6,
32,65,7,22,42,5,9,17,6,
33,65,8,22,42,5,8,18,5,
32,66,7,21,42,5,8,18,6,
33,65,7,22,42,4,9,19,5,
34,65,8,21,42,4,7,18,5,
33,65,7,21,41,4,8,19,6,
32,65,8,22,41,4,9,18,5,
33,66,8,21,42,6,7,17,5,
33,65,7,21,42,5,7,17,6,
33,66,8,21,41,5,8,19,6,
33,66,7,22,42,5,8,17,5,
34,66,7,20,41,5,9,18,6,
33,66,7,22,41,4,9,18,6,
33,66,8,21,42,5,7,19,6,
32,67,9,22,41,5,8,18,6,
33,66,7,21,42,6,8,18,5,
32,66,8,21,41,4,9,18,5,
32,65,7,20,41,6,8,17,5,
33,65,8,21,42,5,7,19,5,
32,66,6,20,41,5,8,19,6,
34,65,7,21,42,5,9,18,6,
31,64,8,21,42,5,8,19,6,
33,65,7,21,42,4,7,19,4,
33,66,7,20,42,4,8,19,5,
33,66,7,21,43,4,8,18,5,
33,65,8,22,42,5,7,18,6,
33,65,7,22,42,4,9,18,6,
33,66,8,21,42,5,7,17,6,
33,65,7,21,41,6,7,18,6,
33,66,7,20,42,5,9,17,5,
32,65,7,22,42,6,8,18,5,
32,65,7,22,40,5,7,18,6,
33,66,8,20,41,5,8,18,5,
33,66,7,21,42,5,8,18,5,
33,64,7,20,42,5,8,19,5,
33,64,7,22,42,5,9,18,6,
33,65,7,22,42,4,7,18,5,
32,64,7,20,40,4,7,18,6,
32,65,8,22,41,5,8,19,5,
33,64,9,21,41,5,8,17,4,
32,65,7,21,42,6,9,19,5,
32,65,7,21,41,4,9,17,5,
32,64,7,20,42,5,8,18,5,
33,66,7,21,41,4,9,19,4,
32,65,8,21,40,5,9,19,5,
32,65,8,22,41,5,9,19,4,
32,65,7,21,41,4,9,18,6,
33,65,7,22,41,5,9,19,4,
33,65,9,21,42,5,7,18,6,
33,65,7,22,41,5,9,18,6,
32,65,9,21,40,5,9,18,6,
33,64,7,21,40,6,9,18,5,
33,64,7,22,40,5,9,18,6,
33,64,8,21,40,5,8,18,6,
33,64,8,21,42,5,8,18,5,
33,65,7,21,40,5,7,18,6,
33,65,8,22,42,4,9,17,5,
32,64,9,21,42,4,10,18,5,
33,63,8,20,42,5,9,19,6,
33,64,7,22,42,6,9,18,5,
32,65,7,20,41,6,7,18,6,
33,65,8,22,41,6,8,18,5,
32,65,7,21,39,5,9,17,6,
33,65,7,22,41,4,8,18,5,
34,64,8,22,40,5,9,19,5,
33,65,8,21,41,5,8,18,4,
33,65,8,22,42,5,8,19,5,
34,65,7,21,41,5,8,19,4,
33,64,8,22,42,5,8,18,6,
33,64,8,22,40,5,9,18,6,
33,65,8,20,41,5,9,18,6,
33,64,7,20,40,6,9,18,5,
32,65,8,20,41,5,8,18,5,
32,64,8,21,41,5,7,18,4,
33,65,7,20,41,4,8,19,6,
33,66,8,20,41,6,8,19,6,
33,66,7,21,42,5,8,19,6,
34,66,8,20,41,5,9,18,6,
33,66,8,22,41,5,9,18,5,
33,65,7,22,40,5,8,18,5,
33,65,8,21,41,6,8,18,5,
33,66,7,21,41,5,9,17,7,
33,64,8,22,41,5,8,18,6,
33,65,8,20,41,5,7,18,5,
33,65,7,21,41,6,8,18,6,
32,65,7,21,41,5,8,18,5,
33,66,7,21,42,6,9,19,6,
32,66,7,22,41,5,8,19,6,
33,65,7,21,42,6,8,18,5,
33,65,7,22,40,6,9,18,5,
33,66,8,21,40,4,8,18,6,
33,65,8,21,41,4,8,18,6,
32,66,8,22,41,4,9,18,6,
33,65,8,21,41,5,8,18,6,
33,64,8,21,41,5,8,17,4,
33,65,8,22,40,5,9,18,4,
33,65,8,21,41,4,9,18,5,
32,65,9,22,40,4,9,18,5,
32,65,8,22,41,5,8,18,5,
33,65,8,21,42,4,7,19,6,
33,65,8,21,42,6,7,18,4,
33,65,9,20,40,6,8,18,5,
33,66,7,22,41,6,8,18,6,
31,65,8,22,40,5,9,18,5,
33,67,9,22,41,5,9,18,6,
32,66,8,21,41,4,9,19,5,
33,66,8,22,41,4,9,18,5,
32,64,8,22,41,6,8,17,5,
33,66,8,20,41,6,9,19,6,
33,66,8,22,41,5,8,18,6,
33,66,8,22,41,5,9,18,6,
33,65,8,22,42,4,9,19,5,
32,65,8,21,41,5,8,17,4,
33,65,8,21,40,5,8,19,5,
34,65,8,21,41,5,10,18,6,
32,65,8,21,41,6,8,18,5,
33,65,7,22,41,6,8,18,5,
33,65,8,21,41,5,8,18,6,
33,65,7,21,41,5,9,18,5,
33,66,8,20,41,5,7,18,4,
33,66,8,22,42,5,9,19,6,
33,66,8,21,42,6,8,17,6,
32,65,9,21,40,6,9,17,5,
33,65,8,21,40,5,9,19,5,
33,65,7,21,41,6,9,19,6,
33,66,8,22,41,6,9,19,6,
32,66,8,21,41,5,8,18,6,
33,66,9,21,41,4,8,17,5,
32,66,8,21,41,5,8,17,5,
33,66,8,22,40,5,9,18,6,
34,66,7,21,41,4,9,18,5,
33,66,8,22,42,5,9,19,5,
32,66,8,22,42,4,8,19,5,
33,65,8,22,42,6,8,18,5,
33,65,9,22,40,5,9,17,4,
33,66,8,21,42,6,7,19,5,
33,65,8,21,42,5,7,18,5,
33,65,8,20,41,6,8,17,5,
32,66,8,21,41,6,8,17,6,
32,65,8,21,40,5,8,17,6,
33,66,8,22,41,5,8,17,5,
33,65,7,21,41,5,9,18,4,
32,65,8,22,42,5,7,18,5,
33,65,8,21,41,6,8,17,5,
32,66,7,21,41,5,9,17,5,
33,65,9,22,41,5,8,19,6,
32,65,8,21,41,6,8,19,5,
33,65,8,22,42,4,8,18,6,
33,65,9,22,41,5,8,18,5,
33,65,9,22,40,6,8,18,6,
33,66,9,20,41,6,8,18,4,
33,65,9,21,40,4,8,18,5,
33,66,9,20,41,4,9,17,6,
33,65,8,21,42,4,8,18,5,
33,65,7,22,41,5,8,19,5,
33,65,8,22,41,5,8,19,5,
33,65,7,21,42,5,8,18,4,
32,65,8,20,41,5,8,18,6,
32,65,9,21,41,5,8,17,6,
33,65,8,22,40,6,8,17,6,
32,64,8,22,41,5,8,18,5,
33,65,7,21,41,4,9,17,6,
33,65,7,22,41,5,8,18,4,
33,65,7,21,41,4,7,18,5,
33,65,7,20,41,5,7,19,4,
33,65,8,22,42,5,9,18,5,
33,65,8,20,41,5,7,18,5,
33,64,9,22,40,5,8,18,5,
33,65,8,21,42,6,8,16,6,
33,64,9,21,41,6,8,18,5,
32,64,9,21,40,4,8,18,5,
33,64,9,21,41,5,8,18,7,
32,64,8,21,41,5,8,18,5,
33,64,8,21,40,4,8,18,6,
33,64,8,21,41,6,9,18,5,
32,65,8,22,41,5,8,18,7,
33,65,9,21,41,4,8,18,6,
34,65,8,22,40,4,9,18,6,
33,65,9,21,42,5,7,18,5,
33,64,8,21,41,6,8,18,6,
33,65,8,20,41,4,9,18,6,
33,64,8,22,42,5,8,19,5,
32,64,8,22,41,5,8,18,6,
32,66,9,21,42,6,8,18,6,
32,66,8,21,40,5,8,19,6,
32,65,9,20,41,5,9,19,5,
33,64,9,22,41,6,9,18,7,
33,65,7,20,41,6,8,18,5,
33,65,7,23,41,4,7,18,6,
32,64,8,20,41,6,9,17,5,
33,65,9,21,41,5,7,18,5,
32,65,8,21,41,5,9,17,5,
32,65,7,21,41,5,10,18,6,
32,66,8,21,41,4,8,18,5,
33,64,8,21,41,5,10,19,6,
34,66,8,21,40,6,7,18,7,
33,65,7,21,40,5,9,18,5,
33,64,8,22,41,5,9,18,4,
32,65,8,21,40,4,7,17,4,
33,65,8,21,41,5,8,18,5,
33,65,7,21,41,6,9,18,5,
33,65,8,21,41,6,9,18,6,
33,65,9,21,41,4,7,19,6,
33,64,8,22,40,5,9,17,5,
33,65,9,21,40,5,8,18,7,
32,64,7,20,40,5,9,19,5,
34,64,8,21,40,5,9,18,6,
33,65,7,21,41,5,9,18,6,
34,66,9,21,42,5,9,17,5,
33,65,8,21,41,4,9,18,6,
33,65,8,21,41,6,9,18,6,
33,64,9,20,42,5,9,19,6,
33,64,8,22,41,5,9,18,5,
32,66,8,21,40,5,8,18,7,
32,65,9,22,42,6,8,19,6,
33,64,9,22,41,6,9,19,6,
34,64,7,21,41,4,8,18,4,
33,66,8,21,40,5,8,18,4,
33,64,7,22,40,5,9,18,6,
33,65,8,20,41,5,8,18,6,
33,64,8,20,41,5,9,17,5,
33,66,8,22,41,5,8,18,7,
33,65,8,20,41,6,8,19,6,
33,64,8,21,42,5,8,17,6,
32,65,8,21,40,5,9,18,6,
32,64,8,20,42,5,8,18,6,
33,65,8,20,41,5,8,18,5,
33,66,7,22,42,4,9,18,6,
32,64,7,22,41,5,9,18,6,
32,65,8,22,40,6,9,18,7,
33,65,7,22,40,5,9,18,7,
33,65,8,21,41,4,8,18,7,
33,64,8,21,41,6,8,19,6,
32,64,8,21,40,5,9,17,6,
33,66,7,21,40,4,9,19,6,
32,65,8,20,41,5,8,18,6,
33,65,8,21,41,5,8,18,6,
33,64,8,21,40,6,9,19,4,
34,65,8,22,42,5,8,18,5,
32,65,7,21,41,4,8,17,5,
34,65,8,21,42,5,8,19,6,
33,65,7,22,40,4,9,19,5,
33,65,8,21,41,5,8,18,5,
32,65,8,21,41,6,8,19,4,
33,64,7,22,41,6,8,18,6,
32,65,7,22,41,6,9,17,6,
32,64,7,21,41,5,9,18,6,
32,65,8,20,41,6,8,18,5,
34,64,7,22,41,4,9,18,5,
33,66,8,21,41,5,8,18,5,
33,64,8,22,42,5,7,18,5,
