A1,A2,A3,B1,B2,B3,C1,C2,C3,
2,12,0,2,4,0,1,3,0,
2,13,0,2,6,0,1,3,0,
2,12,0,2,5,0,1,2,1,
3,13,0,0,4,0,2,3,0,
3,12,0,1,5,0,1,2,0,
2,11,0,2,5,0,1,3,0,
3,12,0,1,5,0,0,3,0,
2,12,0,1,5,0,1,3,0,
2,13,0,1,4,0,2,2,0,
2,13,0,1,5,0,2,2,0,
2,12,0,1,5,0,2,3,0,
2,12,0,2,4,0,1,2,0,
2,12,0,0,3,0,1,2,0,
1,12,0,1,4,0,0,2,0,
2,12,0,2,3,0,0,2,0,
2,12,0,1,4,0,2,3,0,
1,12,0,0,4,0,1,2,0,
2,12,0,1,5,0,2,3,0,
2,11,0,1,5,0,0,2,0,
1,13,0,2,5,0,1,3,0,
3,12,0,0,4,0,1,2,0,
1,11,0,1,4,0,0,3,0,
2,11,0,1,4,0,2,2,0,
1,12,0,1,5,0,1,3,0,
1,12,0,1,5,0,1,3,0,
2,12,0,2,5,0,1,2,0,
2,13,0,0,5,0,2,2,1,
2,13,0,2,6,0,1,2,1,
1,14,0,1,5,0,2,1,0,
2,12,0,0,5,0,1,2,0,
2,13,0,1,3,0,1,2,0,
1,11,0,2,5,0,1,3,0,
1,14,0,1,4,0,1,2,0,
3,11,0,2,5,0,1,1,0,
2,12,0,2,5,0,0,2,0,
1,13,0,2,4,0,1,2,0,
3,13,0,1,4,0,0,3,0,
2,12,0,1,5,0,1,2,0,
1,12,0,1,5,0,1,3,0,
1,11,0,2,4,0,2,3,0,
2,13,0,2,4,0,0,3,0,
2,11,0,0,4,0,0,2,0,
2,12,0,1,4,0,0,1,0,
2,12,0,2,5,0,0,2,0,
2,11,0,0,4,0,1,3,0,
2,12,0,1,4,0,0,3,0,
2,12,0,1,4,0,0,2,0,
2,12,0,1,3,0,2,3,0,
1,13,0,2,4,0,1,2,0,
2,11,0,1,4,0,1,3,0,
1,12,0,2,5,0,1,3,0,
1,12,0,1,4,0,1,3,0,
2,12,0,0,5,1,2,2,0,
1,13,0,2,4,0,0,2,0,
3,12,0,1,4,0,1,3,0,
2,12,1,1,4,0,1,2,0,
1,12,0,1,4,0,2,3,0,
2,12,0,0,4,0,1,3,0,
2,12,0,2,3,0,2,2,0,
2,12,0,1,4,0,1,2,0,
2,12,0,2,3,0,1,2,0,
1,12,0,1,5,0,1,2,0,
2,12,0,2,4,0,1,3,0,
1,11,0,1,5,0,1,2,0,
2,12,1,1,5,0,1,1,0,
2,13,0,2,5,0,1,2,0,
2,12,0,2,3,0,1,3,0,
2,13,0,0,4,0,2,3,0,
1,12,0,1,4,0,2,3,0,
1,12,0,0,4,0,1,3,0,
2,12,0,1,5,0,1,2,0,
2,13,0,2,5,0,0,3,0,
2,12,0,1,3,0,0,2,0,
2,12,0,1,5,0,1,2,0,
1,13,0,1,5,0,1,2,0,
1,12,0,1,5,0,1,2,0,
1,13,0,0,5,0,1,3,0,
1,12,0,2,4,0,1,3,0,
2,11,0,1,5,0,0,3,0,
2,12,0,2,4,0,0,3,0,
2,13,0,2,5,0,1,3,0,
1,13,0,0,3,0,1,2,0,
2,11,0,2,5,0,1,3,0,
3,12,0,1,3,0,1,2,0,
2,13,0,1,4,0,0,3,0,
2,12,0,2,5,0,0,3,0,
1,11,0,2,5,0,1,2,0,
2,13,0,2,4,0,0,3,0,
3,13,0,2,5,0,2,2,0,
2,11,0,1,5,0,0,1,0,
1,12,0,0,5,0,1,2,0,
1,13,0,1,4,0,1,2,0,
3,14,0,1,3,0,2,3,0,
3,12,0,1,4,0,1,3,0,
2,12,0,0,4,0,1,1,0,
1,12,0,0,5,0,1,2,0,
1,12,0,1,4,0,1,3,0,
2,13,0,2,3,0,1,3,0,
1,11,0,0,5,0,0,2,0,
2,12,0,1,4,0,1,3,0,
1,11,0,0,4,0,1,3,0,
2,13,0,0,4,0,1,2,0,
2,11,0,1,4,0,0,3,0,
2,13,0,1,4,1,1,3,0,
2,13,0,2,4,0,1,3,0,
2,13,0,1,5,0,2,3,0,
2,12,0,1,4,0,1,3,0,
2,12,0,1,3,0,1,1,0,
2,13,0,1,3,0,2,3,0,
2,12,0,2,4,0,1,2,0,
2,13,1,1,4,0,1,1,0,
1,12,0,2,4,0,1,2,0,
3,12,0,1,5,0,1,2,0,
2,13,0,2,5,0,1,2,0,
2,12,0,2,4,0,1,3,0,
2,12,0,1,4,0,1,3,0,
2,13,0,2,4,0,2,2,0,
3,11,0,1,4,0,1,3,0,
1,11,0,1,4,0,0,3,0,
1,12,0,1,5,0,0,2,0,
2,12,0,1,4,0,1,3,0,
1,13,0,2,3,0,1,2,0,
3,11,0,2,5,0,1,3,0,
1,13,0,2,3,0,1,2,0,
2,12,0,2,5,0,1,2,0,
3,11,0,1,3,0,2,2,0,
2,12,0,2,3,0,0,2,0,
2,12,0,1,4,0,1,3,0,
2,13,0,1,4,0,1,3,0,
2,12,0,2,3,0,1,2,0,
2,11,0,1,5,0,1,3,0,
2,13,0,2,4,0,1,2,1,
1,12,0,1,4,0,1,3,0,
1,11,0,2,4,0,1,3,0,
1,13,0,0,3,0,2,3,0,
2,12,0,1,4,0,1,2,0,
1,12,0,1,4,0,1,3,0,
2,12,0,0,5,0,0,3,0,
1,11,0,2,4,0,1,2,0,
2,11,0,0,3,0,1,3,0,
1,12,0,2,4,0,0,3,0,
2,12,0,1,4,0,0,3,0,
2,12,0,1,5,0,0,2,0,
1,12,1,1,5,0,2,3,0,
2,11,0,1,4,0,0,3,0,
2,12,0,0,4,0,1,3,0,
2,12,0,1,5,0,1,2,0,
2,12,0,0,3,0,1,1,0,
3,11,0,1,4,0,2,3,0,
1,11,0,2,5,0,1,2,0,
2,12,0,0,5,0,1,2,0,
2,12,0,1,4,0,2,2,0,
2,11,0,2,5,0,1,2,0,
1,12,0,1,4,0,1,2,0,
1,11,0,1,4,0,1,2,0,
3,12,0,0,4,0,0,1,0,
1,11,0,0,4,0,0,2,0,
2,11,0,0,4,0,2,3,0,
0,11,0,2,4,0,0,3,0,
2,12,0,1,4,0,1,3,0,
1,12,0,1,4,0,1,1,0,
3,12,0,0,4,0,2,2,0,
2,12,0,2,5,0,1,3,0,
3,11,0,1,4,0,2,3,0,
1,12,0,1,3,0,1,1,0,
1,11,0,1,5,0,1,2,0,
1,12,0,0,4,0,1,2,0,
2,12,0,1,4,0,0,2,0,
2,12,0,0,4,0,0,3,0,
2,13,0,1,4,0,2,3,0,
2,11,0,2,5,0,2,3,0,
3,12,0,0,4,0,0,3,0,
2,11,0,2,4,0,1,2,0,
3,12,0,1,5,0,1,3,0,
1,12,0,1,5,0,1,3,0,
2,13,0,0,4,0,1,1,0,
1,12,0,1,4,0,0,3,0,
1,12,0,1,4,0,1,2,0,
3,12,0,0,4,0,1,3,0,
2,11,0,0,4,0,1,2,0,
2,12,0,0,4,0,1,2,0,
2,12,0,0,4,0,1,3,0,
2,11,0,1,5,0,2,2,0,
1,12,0,1,4,0,1,3,0,
2,11,0,1,4,0,2,2,0,
1,12,0,0,4,0,1,2,0,
1,13,0,1,5,0,0,2,0,
2,12,0,1,4,0,1,3,0,
1,13,0,0,5,0,1,2,0,
3,12,0,2,4,0,1,3,0,
2,12,0,0,4,0,2,3,0,
2,12,0,0,4,0,1,1,0,
2,13,1,0,5,0,0,3,0,
2,11,0,1,5,0,1,3,0,
2,13,0,1,3,0,1,3,0,
3,11,0,1,4,0,1,3,0,
1,12,0,1,5,0,1,2,0,
2,12,0,2,5,0,1,3,0,
3,12,0,0,4,0,1,3,0,
2,13,0,1,3,0,1,3,0,
1,12,0,1,3,0,0,3,0,
2,11,0,0,3,0,0,2,0,
2,11,0,2,4,0,2,2,0,
2,13,0,1,5,0,0,3,0,
2,12,1,1,4,0,0,3,0,
2,12,0,2,5,0,1,3,0,
2,11,0,0,3,0,0,2,0,
2,12,0,2,4,0,2,3,0,
2,11,0,1,4,0,2,2,0,
1,12,0,1,5,0,1,2,0,
2,12,0,2,4,0,1,3,0,
2,12,0,1,4,0,2,3,0,
2,11,0,1,4,0,1,3,0,
2,11,0,1,3,0,1,3,0,
3,11,0,1,5,0,1,3,0,
1,13,0,1,5,0,1,3,0,
1,12,0,0,5,0,0,3,0,
2,13,0,0,4,0,1,3,0,
2,12,0,0,3,0,1,2,0,
1,12,0,1,3,0,0,2,0,
3,11,0,0,5,0,2,2,0,
2,11,0,1,4,0,0,2,0,
2,11,0,2,4,0,2,3,0,
2,13,0,2,5,0,1,2,0,
2,12,0,1,4,0,1,3,0,
2,12,0,0,5,0,1,2,0,
2,13,0,0,3,0,1,2,0,
3,12,0,1,4,0,1,3,0,
3,12,0,1,3,0,1,3,0,
2,11,0,1,3,0,1,2,0,
1,13,0,0,3,0,0,2,0,
2,13,0,2,4,0,1,2,0,
2,11,0,1,5,0,0,2,0,
1,11,0,1,4,0,1,3,0,
2,12,0,1,4,0,1,3,0,
2,12,0,2,5,0,1,3,0,
1,12,0,2,4,0,1,2,0,
2,12,0,1,4,0,2,2,0,
3,12,0,1,3,0,1,2,0,
2,12,0,2,3,0,1,3,0,
2,12,0,1,4,0,2,3,0,
2,12,0,0,5,0,0,3,0,
2,12,0,2,3,0,0,2,0,
2,12,0,1,4,0,1,2,0,
2,13,0,0,4,0,0,2,0,
2,11,0,2,5,0,1,2,0,
2,12,0,1,3,0,1,3,0,
2,12,0,1,3,0,1,1,0,
1,13,0,1,4,0,1,2,0,
1,13,0,1,4,0,0,3,0,
3,11,0,1,5,0,1,3,0,
1,11,0,2,4,0,1,3,0,
2,12,0,1,4,0,1,3,0,
2,13,0,1,3,0,0,3,0,
2,12,0,1,5,0,0,2,0,
2,11,0,0,3,0,0,3,0,
2,11,0,0,3,0,0,3,0,
1,12,0,0,3,0,2,2,0,
1,12,0,1,5,0,0,3,0,
2,12,0,1,4,0,1,1,0,
2,12,0,1,5,0,0,2,0,
3,13,0,0,4,1,1,3,0,
1,13,0,1,4,0,2,2,0,
1,12,0,1,5,0,1,3,0,
3,11,0,2,5,0,1,3,0,
2,13,0,1,5,0,0,2,0,
1,13,0,1,3,0,1,3,0,
2,13,0,1,4,0,0,3,0,
1,13,0,1,5,0,1,2,0,
2,13,0,1,5,0,1,3,0,
2,11,0,0,4,0,1,2,0,
1,13,0,0,5,0,1,2,0,
2,13,0,1,4,0,0,2,0,
0,12,0,2,5,0,0,3,0,
3,12,0,0,4,0,1,2,0,
2,12,0,1,4,0,0,3,0,
1,11,0,1,5,0,1,2,0,
0,13,0,1,3,0,1,3,0,
1,11,0,1,3,0,1,2,0,
1,13,0,1,4,0,1,2,0,
3,13,0,1,4,0,1,2,0,
2,12,0,0,5,0,0,3,0,
2,12,0,0,5,0,0,3,0,
1,13,0,0,5,0,1,3,0,
2,12,0,1,4,0,0,3,0,
3,12,0,1,4,0,1,2,0,
2,13,0,0,5,0,0,3,0,
2,12,0,0,5,0,0,2,0,
1,12,0,0,4,0,0,2,0,
1,12,0,1,5,0,1,3,0,
2,12,0,0,5,0,1,2,0,
3,11,0,2,3,0,1,3,0,
3,12,0,1,5,0,2,2,0,
2,11,0,1,4,0,1,2,0,
2,12,0,1,4,0,1,2,0,
1,11,0,0,4,0,1,3,0,
3,11,0,0,3,0,1,3,0,
2,12,0,1,3,0,0,2,0,
1,11,0,0,4,0,0,2,0,
2,11,0,1,4,0,1,3,0,
2,12,0,0,4,0,1,2,0,
1,13,0,1,4,0,0,3,0,
2,13,0,1,4,0,1,3,0,
2,12,0,0,5,0,0,2,0,
2,12,0,2,5,0,1,2,0,
2,13,0,1,5,0,0,2,0,
2,11,0,1,5,0,1,3,0,
2,12,0,1,3,0,2,2,0,
1,12,0,2,4,0,2,3,0,
2,12,0,1,4,0,0,3,0,
2,13,0,0,5,0,1,2,0,
1,12,0,1,4,0,1,2,0,
2,13,0,1,3,0,2,3,0,
2,12,0,1,4,0,1,2,0,
1,12,0,1,4,0,0,3,0,
2,11,0,1,5,0,2,2,0,
1,11,0,2,3,0,2,3,0,
3,12,0,1,5,0,1,2,0,
3,12,0,1,3,0,0,2,0,
1,13,0,1,3,0,0,3,0,
2,12,0,1,4,0,1,3,0,
2,13,0,1,5,0,0,2,0,
3,11,0,1,3,0,1,3,0,
2,11,0,1,4,0,1,3,0,
2,11,0,2,4,0,1,3,0,
2,12,0,1,4,0,0,3,0,
1,12,0,1,4,0,1,2,0,
2,11,0,1,4,0,1,3,0,
3,11,0,1,4,0,1,2,0,
3,13,0,0,3,0,0,3,0,
3,12,0,1,4,0,1,2,0,
3,11,0,2,3,0,1,1,0,
2,12,0,1,5,0,0,2,0,
2,12,0,1,3,0,0,1,0,
3,13,0,0,3,0,0,2,0,
2,12,0,0,4,0,1,2,0,
2,12,0,1,3,0,0,2,0,
2,11,0,1,4,0,1,2,0,
1,11,0,1,3,0,1,2,0,
2,12,0,1,5,0,0,2,0,
1,12,0,0,5,0,1,2,1,
2,12,0,1,4,0,0,2,0,
2,11,0,1,3,0,1,2,0,
2,12,0,1,4,0,0,2,0,
2,11,0,1,4,0,1,2,0,
2,13,0,1,3,0,0,1,0,
2,11,0,0,4,0,1,2,0,
2,12,0,1,3,0,1,2,0,
1,11,0,1,2,0,1,3,0,
2,11,0,1,5,1,1,2,0,
2,12,0,0,4,0,1,2,0,
2,13,0,1,4,0,0,3,0,
2,12,0,1,3,0,0,3,0,
1,12,0,1,5,0,1,2,0,
2,11,0,1,5,0,1,2,0,
2,12,0,1,4,0,1,2,0,
2,12,0,1,5,0,1,2,0,
2,12,0,2,3,0,1,3,0,
1,13,0,0,3,0,1,3,0,
2,13,0,2,5,0,1,2,0,
1,13,0,1,3,0,0,3,0,
2,12,0,1,4,0,0,3,0,
2,13,0,1,4,0,0,3,0,
1,12,0,1,4,0,0,3,0,
3,13,0,1,5,0,1,2,0,
2,13,0,2,4,0,1,3,0,
3,11,0,2,4,0,0,2,0,
2,12,0,1,5,0,1,2,0,
3,12,0,1,3,0,1,3,0,
2,13,0,1,3,0,1,2,0,
2,11,0,1,5,0,1,2,0,
2,13,0,1,5,0,1,2,0,
2,13,0,1,5,0,0,3,0,
2,12,0,0,5,0,1,1,0,
3,11,0,1,4,0,1,3,0,
2,12,0,0,4,0,0,3,0,
2,12,0,1,4,0,2,3,0,
2,12,0,0,4,0,0,2,0,
2,12,0,1,4,0,1,2,0,
2,12,0,1,4,0,1,3,0,
2,12,0,1,4,0,2,1,0,
2,13,0,2,5,0,0,2,0,
3,13,0,1,4,0,1,1,0,
1,13,0,0,3,0,1,2,0,
3,11,0,1,4,0,0,2,0,
3,12,0,0,4,0,0,2,0,
1,11,0,0,4,0,2,2,0,
1,13,0,0,4,0,1,2,0,
1,12,0,1,5,0,0,2,0,
1,11,0,1,2,0,0,3,0,
2,13,0,1,4,0,0,2,0,
2,13,1,2,5,0,1,1,0,
2,13,0,1,5,0,1,3,0,
3,12,0,1,3,0,0,2,0,
2,11,0,0,5,0,2,3,0,
2,11,0,1,4,0,0,2,0,
3,12,0,1,3,0,0,3,0,
3,13,0,1,4,0,2,3,0,
2,12,0,2,4,0,0,3,0,
2,11,0,1,4,0,2,2,0,
1,12,0,0,5,0,1,2,0,
3,12,0,0,3,0,1,3,0,
2,11,0,0,4,0,1,3,0,
1,12,0,0,4,0,1,3,0,
3,12,0,1,4,0,0,3,0,
2,12,0,1,4,0,1,3,0,
1,12,0,2,4,1,0,3,0,
2,12,0,0,4,0,1,2,0,
2,11,0,2,4,0,1,2,0,
2,12,0,1,4,0,1,2,0,
2,11,0,0,5,0,1,2,0,
3,12,0,1,3,0,1,3,0,
2,12,0,0,3,0,1,3,0,
1,11,0,1,4,0,0,1,0,
2,12,0,0,3,0,0,3,0,
2,12,0,1,4,0,1,2,0,
2,13,0,1,2,0,0,3,0,
3,11,0,0,4,0,0,2,0,
2,12,0,0,3,0,1,2,0,
2,12,0,1,5,0,1,3,0,
2,12,0,1,3,0,1,2,0,
3,13,0,1,5,0,1,2,0,
3,12,0,2,4,0,0,2,0,
1,11,0,1,4,0,1,2,0,
2,13,0,1,4,0,0,2,0,
1,11,0,1,4,0,0,2,0,
2,12,0,1,5,0,2,3,0,
2,12,0,0,4,0,0,3,0,
2,12,0,2,4,0,1,3,0,
2,12,0,0,4,0,1,3,0,
3,11,0,1,3,0,2,3,0,
1,12,0,1,4,0,1,2,0,
2,12,0,1,4,0,1,2,0,
3,11,0,2,5,0,2,3,0,
3,13,0,1,3,0,1,1,0,
2,13,0,1,4,0,1,2,0,
2,11,0,1,4,0,1,2,0,
2,11,0,0,3,0,1,2,1,
1,12,0,1,4,0,1,3,0,
3,12,0,1,3,0,0,1,0,
2,12,0,1,4,0,1,3,0,
1,13,0,2,4,0,1,3,0,
2,11,1,1,3,0,1,2,0,
3,11,0,1,3,0,2,2,0,
2,12,0,0,4,0,0,3,0,
2,12,0,1,4,0,1,1,0,
2,11,0,1,4,0,0,2,0,
3,12,0,1,4,1,0,2,0,
2,11,0,0,3,0,1,2,0,
2,12,0,1,3,0,2,2,0,
2,12,0,1,3,0,1,3,0,
2,13,0,1,4,0,1,2,0,
2,12,0,3,4,0,0,2,0,
1,12,0,1,4,0,1,2,0,
3,12,0,0,4,0,0,1,0,
2,12,0,2,4,0,0,1,0,
2,13,0,1,4,0,1,2,0,
2,11,0,0,3,0,1,3,0,
3,13,0,1,5,0,0,3,0,
2,11,0,2,5,0,1,1,0,
2,12,0,2,3,0,1,2,0,
2,12,0,2,5,0,2,2,0,
2,13,0,1,4,0,1,3,0,
3,13,0,1,4,0,0,3,0,
3,13,0,0,4,0,0,3,0,
3,12,0,0,4,0,0,2,0,
2,12,0,1,3,0,1,2,0,
2,13,0,1,4,0,0,2,0,
2,13,0,1,5,0,1,3,0,
2,12,0,1,4,0,1,1,0,
2,12,0,1,4,0,1,3,0,
1,13,0,1,3,0,1,3,0,
3,12,0,1,3,0,1,3,0,
1,13,0,0,3,0,1,2,0,
1,13,0,1,3,0,0,2,0,
1,11,0,0,4,0,0,2,0,
2,13,0,0,3,0,0,3,0,
2,13,0,2,4,0,1,2,0,
2,12,0,1,4,0,1,2,0,
3,12,0,0,4,0,0,3,0,
3,12,0,0,4,0,0,2,0,
2,11,0,1,4,0,1,2,0,
1,11,0,1,4,0,1,2,0,
1,11,0,0,3,0,1,2,0,
2,12,0,0,4,0,1,3,0,
3,12,0,1,4,0,0,3,0,
2,12,0,1,5,0,0,2,0,
2,12,0,1,4,0,1,3,0,
2,11,0,0,4,0,1,3,0,
3,12,0,1,5,0,1,2,0,
2,12,0,1,4,0,1,3,0,
2,11,0,1,4,0,1,2,0,
2,12,0,2,5,0,1,3,0,
1,12,0,1,4,0,1,3,0,
2,12,0,2,4,0,1,1,0,
2,12,0,1,5,0,1,2,0,
3,13,0,1,4,0,1,2,0,
2,12,0,1,4,0,0,1,0,
3,13,0,1,3,0,1,2,0,
2,11,0,2,4,0,0,1,0,
2,13,0,0,4,0,2,3,0,
2,12,0,1,4,0,2,1,0,
3,13,0,0,4,0,2,3,0,
3,12,0,1,5,0,1,2,0,
2,12,0,1,5,0,1,3,0,
2,12,0,0,3,0,1,2,0,
3,12,0,1,3,0,1,2,0,
2,13,0,2,3,0,1,2,0,
3,11,0,1,4,0,2,3,0,
2,12,0,2,4,0,0,3,0,
2,13,0,0,3,0,0,3,0,
2,13,1,2,4,0,1,2,0,
1,11,0,2,4,0,1,1,0,
2,13,0,1,4,0,0,2,1,
2,13,0,1,5,0,0,2,0,
3,12,0,2,4,0,0,2,0,
2,11,0,1,4,0,0,3,0,
2,12,0,0,4,0,1,3,0,
1,13,0,2,4,0,1,3,0,
0,12,0,1,3,0,0,2,0,
1,12,0,1,4,0,1,3,0,
2,13,0,1,3,0,0,2,0,
2,12,0,0,5,0,1,2,0,
2,13,0,1,4,0,1,2,0,
2,12,0,2,4,0,1,2,0,
2,12,0,1,4,0,0,3,0,
2,11,0,1,4,0,1,2,0,
2,12,0,1,4,0,2,2,0,
2,12,0,1,4,0,0,3,0,
3,12,0,1,4,0,0,1,0,
2,12,0,0,4,0,1,3,0,
1,11,0,1,4,0,0,2,0,
3,13,0,2,4,0,1,3,0,
2,13,0,1,4,0,1,2,0,
2,12,0,2,3,0,2,2,0,
2,12,0,1,4,0,1,3,0,
2,12,0,1,4,0,0,3,0,
2,12,0,2,3,0,1,2,0,
2,12,0,0,4,0,1,2,0,
1,11,0,0,3,0,1,3,0,
1,11,0,1,3,0,0,0,0,
2,12,0,0,4,0,1,3,0,
2,12,1,0,3,0,2,2,0,
1,11,1,1,4,0,1,2,0,
1,12,0,1,4,0,1,1,0,
3,12,0,0,4,0,1,3,0,
2,13,0,1,4,0,1,3,0,
2,12,0,1,3,0,2,2,0,
3,11,0,1,3,0,2,2,0,
2,13,1,1,4,0,0,2,0,
1,13,0,0,4,0,2,1,0,
2,12,0,1,4,0,1,1,0,
3,12,0,1,4,0,0,1,0,
2,11,0,1,4,0,0,2,0,
2,12,0,1,3,0,0,2,0,
2,12,0,1,4,0,2,2,0,
1,13,0,0,5,0,1,2,0,
2,12,0,0,4,0,1,2,0,
2,11,0,1,4,0,1,2,0,
2,11,0,1,3,0,1,2,0,
2,10,0,1,4,0,0,1,0,
2,11,0,1,3,0,1,1,0,
2,13,0,1,5,0,0,1,0,
2,12,0,0,4,0,0,2,0,
0,13,0,2,4,0,1,2,0,
2,12,0,2,4,0,1,2,0,
2,11,0,2,4,0,1,2,0,
